"id","place_id","name","address","phone_number","latitude","longitude","first_photo_url","map_url","website","uploadDate","image","writer","category_id"
"1","ChIJUeQ_pJ5F4zARTnCrPT0D2MI","terrua main ten villa garden (เทอรัว เมน เท็น วิลล่า การ์เด้น)","66 หมู่ 5 ตำบล ป่าหวาย อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","ไม่ทราบ","13.5684362","99.4161729","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZTqbKxB-pbc5r2jrZxbaQR19mCbuceby6VtOMVKNm_vKorQMjG7PL7XT6N5tQ_MxM_S_RtSKZo9AgiJg_Cwe0u2wjmyYVTe0vE60QHoQz5v654atAhIGca7soZr1wCJFaI51uuBDbwm-l3sNbqQmV2zJpgLAmLX4g--bwUhxe-DbzF&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=terrua main ten villa garden (เทอรัว เมน เท็น วิลล่า การ์เด้น)","ไม่ทราบ","2024-03-21","uploads/product/dwarf-spitz-112889_1280_PNnTavA.jpg","admin", 51
"2","ChIJX8n_g29Q4zARxWt6Fod54rE","รัก ณ สวนผึ้งรีสอร์ท","557 หมู่ 8, ตำบลสวนผึ้ง อำเภอสวนผึ้ง จังหวัดราชบุรี, 70180 สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","089 894 4642","13.703963","99.199329","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZ5hTJwHTCnS2EXQoS7y4s3W3zgfG6qQsMeu_W0gVU5E4FpQpPaGvnd4kbxTrAULkcL5z2e5nDMaZ5g-njzawMbskbDl5WTeasNaU0eQIE56EiE3dQXMvpYju58TEKWRsYIv2N7hmVf_jsJCMdEyJDqvMS_Zq6fohG_9PY36QBh57gc&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=รัก ณ สวนผึ้งรีสอร์ท","http://www.raknasuanpuenghotel.com/","2024-03-21","uploads/product/2k29mw_lUsdd5X.jpg","admin","51"
"3","ChIJNRsjsKAl4zARi7Kxso84fyg","เขางูบูทีค รีสอร์ท","293 ตำบล เกาะพลับพลา อำเภอเมืองราชบุรี ราชบุรี 70000 ประเทศไทย","082 956 9396","13.5653498","99.7686063","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYhjTyEQmUq4gDX5_7HM3Gn5OFkjHUCjXBc5Dj-bdH0iiu-A7PoH-ESZ453vPULSuwiRLj6zMObUWx1iSBAUegzj2ysqWq4sjU0XEsqv42noVmioUxIQV8DsgCrTYpQ77B9bz16xHqWCPekq5vzkEd53ldcC2MCMTe-Q_PTcZkCvPdD&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=เขางูบูทีค รีสอร์ท","https://www.facebook.com/KhaoNgooBoutique/","2024-03-21","ไม่มีข้อมูล","admin","51"
"4","ChIJVVVVVVEe4zARGjAvoLbZzoE","The Antique Riverside Resort & Café","32, 3 ตำบล นครชุมน์ อำเภอบ้านโป่ง ราชบุรี 70110 ประเทศไทย","032 297 298","13.7653299","99.8459419","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYYRGLzwfxljl0m-EwBKysgryZNFElGUSn3Vh1PCmrKsmjKtncexDaKdIXSm4_6xGMhxtQ0I4t5OZFOwSbX--e_cnD0_20Fl6OMgDQjwpqPPcAe3cN8oCO1H-cfOK_hKeK_7SVmzZyjwZiE-LbByaXjXQgw0gywK-8Wwizv8ISWiPQ&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=The Antique Riverside Resort & Café","http://www.theantiqueriverside.com/","2024-03-21","ไม่มีข้อมูล","admin","51"
"5","ChIJ6YIHsnJX4zARuhzKQv44tsI","เดอะโลเคชั่น รีสอร์ท สวนผึ้ง","888 หมู่ 3 บ้าน ห้วย น้ำ ใส สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","097 464 8866","13.587824","99.210506","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYvcEHnk7hdKccpUBdwwq31Q7kXUZEYmJwN_2Aa3oagwb8XhCxenSbrlqURvUupSv8ER5gFJO5MqIbOBmAS9KhMeO8OP9utbbzZ6C7x1Nq0GF5q4U8UctmX0DT8aR0Nvg7UNVScETNYbeO2b2QayuQmbmtTiajl6YHRgRdQZpSCMJ4U&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=เดอะโลเคชั่น รีสอร์ท สวนผึ้ง","http://www.thelocation-resort.com/","2024-03-21","ไม่มีข้อมูล","admin","51"
"6","ChIJN4XBBeBW4zARY0ZyMvkuSj0","Dandelion Resort แดนดิไลออน รีสอร์ท","ตำบล สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","081 349 5646","13.510388","99.255972","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJY1cpFJ84UPluucnPEprRnZrQAXg9v5K3-Masbqfiscs-XWXSxFrAUSp4x4ArUZxiENCIHiVfTurWf2FKYqtCG7VeGN7wk4FQi8sl1ecOjnC3iVdElvQvGdIm4PTYiZVEIJV3MRHJVFd8iVC8AC7t5EpDjPf4tylhFxc66s9-n0mrHE&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=Dandelion Resort แดนดิไลออน รีสอร์ท","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"7","ChIJAQAAAABb4zARId8z1p38ERI","อริสโต ชิค รีสอร์ท แอนด์ ฟาร์ม","777 Baanpong Maew, ตำบล สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","085 566 5533","13.6815817","99.1995328","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZxf179MWHcTc244d5raMvt0YThvx0VOm1rkvApXsjnany3Yb3gKxayMWEcXVu3oxACU1BSv3EaeIynrJId5rFGRd8nEwCOO9k0401PQvokSDE0xfvcsjlgzBFcCKG-CYOcA0ic49ZBOjpxNpCpRbWrj3ENSfF6j8_ZERbOseIL-IAR&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=อริสโต ชิค รีสอร์ท แอนด์ ฟาร์ม","https://facebook.com/aristo.resort/","2024-03-21","ไม่มีข้อมูล","admin","51"
"8","ChIJq_46Tjkk4zARPZlwP34k25M","บ้านธาราสปา","74 Moo 1, Nong Klang Na, A. Muang, ตำบล หนองกลางนา Ratchaburi, ราชบุรี 70000 ประเทศไทย","085 841 4666","13.5986939","99.7950701","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYlaflitv3dF-1zXUHB6mj9MG3xyG-JjlUOLkLVT0B5il3WTjKqX8fVyqAxNfVwuvTa_0TAngA-QA6BqUSd-ztdffwGpL8bzeDvlvlhnOVzHViG1a-582H5_OMO5wLepl0UooDAGVZcmZuBrjsWAiz5rhsZzD3fG8lg7bcCRD1JWxR6&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=บ้านธาราสปา","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"9","ChIJe9U_-xpG4zARsma44dx8QgQ","Paramer resort suanphung (พาระเมอรีสอร์ท)","Unnamed Road, HF59+4RV ตำบล ท่าเคย อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","081 917 0691","13.557859","99.4695485","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZd5CW7V4s1zFDfi6lTNNUcDLzlQ0jlj0p0_xYiKF-eh57-ItjZduKutOPrF4KvFHKPShNCJ6ZZFv6E2eGqOPNQCkyfWft07ScCeMPc6ndhhq9Paaun1IP_nkmzd57Rv8KIGSaOqQDhrk-tMz9kMfB0po7ccywjWN5aUJ1XN7I5Mlyz&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=Paramer resort suanphung (พาระเมอรีสอร์ท)","http://paramer.myreadyweb.com/","2024-03-21","ไม่มีข้อมูล","admin","51"
"10","ChIJbz8tnG5Q4zARfBomUYbzdBg","บ้านพักจอมยุทธ@สวนผึ้ง","276 1 4 ตำบล สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","097 246 8441","13.538317","99.3394323","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZ9C_kZMUSBzlzCtA-H6wpAxTCtuEmpaFmKcgt_qYE0Q6FkobR1YEoAuZyBLRhtRtwlfvhKEIzm6fS_sh63ApKl9Jr-uNS1e-FeVSH3rC-XdfAZna3bjb6jC7-4MgMLsL8NoQxi9Mlr28VmsFlFJstZYmfJbKjDSrRVbuOtMTxQXUar&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=บ้านพักจอมยุทธ@สวนผึ้ง","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"11","ChIJz1DGqq1Q4zARD8kvtt6TyHE","ไฮซีน รีสอร์ท สวนผึ้ง ที่พัก","250 หมู่ 2 3087 ตำบล สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","084 343 7434","13.5471005","99.2823608","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbRUqrfsqkeE3TvpYo8loW1kFjAqP07teOahdn0XDoLbxRmvdMgzPEPFRyNaPTZaHUI4UDIuldH3Kkqo0y3g2q97f7lNT8lRBhgtta1vmWBJqEocnYPL4MUSDhFNAqAOw9tlfhwbJLJ1-PUy4kgFn-U3SmjVWNxAeNCBvgyYJwU4iAP&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=ไฮซีน รีสอร์ท สวนผึ้ง ที่พัก","http://www.hi-scene.com/","2024-03-21","ไม่มีข้อมูล","admin","51"
"12","ChIJPcWxIrdZ4zARm3ZsYDply9w","ทานิฮิล รีสอร์ท","H6MV+Q7X ตำบล สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","084 760 2444","13.5844892","99.243238","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJarvRGTG2YB9e_Y3Fwdm7PLjBMDPtl1LlIoGr-YLuBth7L4ATtbOoJy36NLVwiyKGv2gV8w2wFbZsmD1lam28-LQHhgbKG8lmeSQ8B8VQOEobUkRUrxtp4fNKmAI_n2Bu2C5x_zd7WdaIp0pKbRGgZbCY5Oh5Rj-YOHN-tjZKB7Ht2p&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=ทานิฮิล รีสอร์ท","https://www.tanihillresort.com/","2024-03-21","ไม่มีข้อมูล","admin","51"
"13","ChIJNWuCfeNZ4zAR-0dlkTvDwBY","Stamp Hills Resort & Restaurant","H768+V4P ตำบล สวนผึ้ง อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","081 256 3656","13.5622073","99.2653261","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZkvKPgRz9-Y9iT4CwS6oO13VPnPwoEI2_AEVIzSpf34a8tsyDoOjk9IBmomSPlMNV0KQkx1egO-TMzSGTZkJLO9xCqcpj83WJWIIGUjUB_sIdT3E3wb5n8gd3gogqDZEBD-hS5EPfRRRdkAemOA_TPGU5Bp1LwWZLRDYuSQ9cvXky5&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=Stamp Hills Resort & Restaurant","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"14","ChIJSUpcvg9F4zARQ0VEkNWLEiw","The Harmony resort","HCM2+6FP ตำบล ป่าหวาย อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","092 735 5578","13.583077","99.4012158","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaNf7dykQVmdJC7XcaWiojgv-LmLGkBggYB77eqJiJUoLR5lmB0roqaQpel2HtZGOIPLtXd7E-aBvRlA7A1oYzYufGr5uSg6buBasCTSO11hr2dJ6nV4V_AmPCFLttfWsoHHTXH875OJxMDZnpmyRSqnrWhu5lEglcdIAmcX14fyaz5&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=The Harmony resort","https://www.theharmonyresort.com/","2024-03-21","ไม่มีข้อมูล","admin","51"
"15","ChIJcZpWQmDX4jAROJfq81tUqpg","Reurn Thai Resort Ratchaburi","248/1 Moo 10, ตำบล ดำเนินสะดวก Damnoen Saduak, Ratchaburi 70130 ประเทศไทย","089 141 5422","13.5175437","99.9702987","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYOq50KnjLo4kBOrOZVEXXhpC0I23mSbsdzG2tyGoMKCeGRpP5UPhD084mKxJ8GbkkYGqtH_62VKH9Vc0-AJYQbkdmvZIFXY5p3YEcNrKL6RcwTvFbBmamGT8DgnvmDW360weGI7kXJHh_iuCxSMGoke1WGeP_ZuctITCWE4qX5gmRC&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=Reurn Thai Resort Ratchaburi","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"16","ChIJU_xCxHBQ4zARwfsMKlvjUvM","บ้านต้นน้ำ รีสอร์ทสวนผึ้ง","1 หมู่10, ตำบล ท่าเคย อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","065 845 5652","13.5414348","99.3771623","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYxsN1phFB1dm_PY3mZFcuJ4CO8TT9kYj1PtnWO_Taj5xvUrjJ9npbUTj6RQ-80etEnKehcn5XTX63b6SiAqslD8G1ce5bX2wHZUO8a3m7o2PGecaU3TX7jnYaCkvlcpNz0VCHzspNqn26Qd6xgrPCUZ1dX5uuZEGr9fKj5e2plAVQ2&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=บ้านต้นน้ำ รีสอร์ทสวนผึ้ง","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"17","ChIJ2ewEjchb4zARL535nVcvbeM","บ้านธารธารา","ตำบล ป่าหวาย อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","081 487 7332","13.5596844","99.3645057","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJY-AADOPf5EqAkONPOxwgZ510RnZ_lOH-oqXL-JuEr7eWK0RKc43FVBrAISatfilUqhCI1Q_Y0Gk-xM9iXXN9ZppYaca3fvJ9Si7mOZERb0-bKIiek2e4Ix2JhSGCBjFWzUx7wKIm251WRljGvm7F_i0SPbZf1oCCGmpmxoKftXDnl-&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=บ้านธารธารา","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"18","ChIJvTNV27Md4zARMZTRHzF3ozI","รีสอร์ทบ้านป้า","1 12 ตำบล เบิกไพร อำเภอบ้านโป่ง ราชบุรี 70110 ประเทศไทย","062 616 9159","13.8399739","99.8648623","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJa42trl4T-6dIWkIOaHV8OhmR71HKx04eKgZ-mfRnc7rJRBd6L8xKUWLE0X6Qi52Om8nXhOzFh48AnvJgKlNketP56GbKhqtwFZjoqslPuXiCWdJCibeW85DSZhnwBWjLNcUn0DxNULmxrP6NrKAXYdd9v9TOAQ8Q_KDXLhgdRdFFEn&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=รีสอร์ทบ้านป้า","https://m.facebook.com/ResortBaanPaa/","2024-03-21","ไม่มีข้อมูล","admin","51"
"19","ChIJtSBccGna4jAR1HcAVW6XMtg","ดำเนินเเคร์ รีสอร์ท","61 Moo 2 T.Donphai Ratchaburi, ตำบล ดอนไผ่ อำเภอดำเนินสะดวก สมุทรสาคร 70130 ประเทศไทย","097 232 9355","13.5472279","100.020632","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYRLdE8zcM9ubIOKDB8X8u3A5RzJz_SfPEKYYVDMWRPs3sznInqv7lfdY4tGDCAheeasmJzfGdFlpeML_ty4OGayjsm0mMt6Hz_utKMw652_frahLcb3GiRGz7EKlqg4s5Q_cfIV6QYfRfMqzzvIv9XBbJSLI34-zD0q-vm-X6Iy-6E&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=ดำเนินเเคร์ รีสอร์ท","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"20","ChIJk-m6_KbhJzER61AztKJs2yk","บ้านภูคู่จันทร์ โฮมสเตย์","Unnamed Road 5WJP+F3Q ตำบล วรนคร อำเภอ ปัว น่าน 55120 ประเทศไทย","061 553 0455","19.181215","100.93523","ไม่มีรูปภาพ","https://www.google.com/maps/search/?api=1&query=บ้านภูคู่จันทร์ โฮมสเตย์","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
"21","ChIJV9TAcTlF4zARiWVrAeMebhI","ไร่ภูรัก (Rai Phuruk Resort)","Unnamed Rd, ตำบล ป่าหวาย อำเภอ สวนผึ้ง ราชบุรี 70180 ประเทศไทย","097 946 6296","13.5802612","99.381668","https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZc-Mo6KQNPqDd3GPCipouzeJxu5R6L3elNidneY2WQi9gjlrmg6lgufwwv1zRbgLFRkqys7VJ1f8RJcdPqJAfdWr0AFjTUo8VXiD30Jzm7-o9E7LcrgtqLHqukS1qOgzVa4YuIfc_Q-asB2ApSk0R-is_GlLv-GyCRlnkHSBy6fQnA&key=AIzaSyBbGf_oYjI5qoewIZi4dp5JXvij6Ml4kVg","https://www.google.com/maps/search/?api=1&query=ไร่ภูรัก (Rai Phuruk Resort)","ไม่ทราบ","2024-03-21","ไม่มีข้อมูล","admin","51"
